Epoch 189, Loss: 0.1208
Epoch 190, Loss: 0.1137
Epoch 191, Loss: 0.1144
Epoch 192, Loss: 0.1249
Epoch 193, Loss: 0.1167
Epoch 194, Loss: 0.1099
Epoch 195, Loss: 0.1079
Epoch 196, Loss: 0.1047
Epoch 197, Loss: 0.1070
Epoch 198, Loss: 0.1092
Epoch 199, Loss: 0.1126
Epoch 200, Loss: 0.1024
